 

        GW IRRIGATION     PERIOD    1   STEP  15
 AG WELL    135   HRU 15859   RATE     0.00000    
 AG WELL    135   HRU 15700   RATE     0.00000    
 AG WELL    135   HRU 15702   RATE     0.00000    
 AG WELL    135   HRU 15704   RATE     0.00000    
 AG WELL    135   HRU 15706   RATE     0.00000    
 AG WELL    135   HRU 13987   RATE     0.00000    
 AG WELL    135   HRU 13991   RATE     0.00000    
 AG WELL    136   HRU 13986   RATE     0.00000    
 AG WELL    136   HRU 15874   RATE     0.00000    
 AG WELL    137   HRU  8258   RATE     0.00000    
 AG WELL    137   HRU  8259   RATE     0.00000    
 AG WELL    138   HRU  8265   RATE     0.00000    
 AG WELL    139   HRU  8074   RATE     0.00000    
 AG WELL    139   HRU  8046   RATE     0.00000    
 AG WELL    139   HRU  8193   RATE     0.00000    
 AG WELL    139   HRU  8232   RATE     0.00000    
 AG WELL    140   HRU  7949   RATE     0.00000    
 AG WELL    141   HRU  8309   RATE     0.00000    
 AG WELL    141   HRU  8300   RATE     0.00000    
 AG WELL    141   HRU  8308   RATE     0.00000    
 AG WELL    141   HRU  8305   RATE     0.00000    
 AG WELL    142   HRU  8299   RATE     0.00000    
 AG WELL    142   HRU  8307   RATE     0.00000    
 AG WELL    142   HRU  8304   RATE     0.00000    
 AG WELL    143   HRU  8041   RATE     0.00000    
 AG WELL    143   HRU  8054   RATE     0.00000    
 AG WELL    143   HRU  8055   RATE     0.00000    
 AG WELL    143   HRU  8069   RATE     0.00000    
 AG WELL    143   HRU  8043   RATE     0.00000    
 AG WELL    144   HRU  8245   RATE     0.00000    
 AG WELL    144   HRU  8255   RATE     0.00000    
 AG WELL    144   HRU  8289   RATE     0.00000    
 AG WELL    144   HRU  8213   RATE     0.00000    
 AG WELL    144   HRU  8237   RATE     0.00000    
 AG WELL    144   HRU  8244   RATE     0.00000    
 AG WELL    145   HRU  8045   RATE     0.00000    
 AG WELL    146   HRU  8072   RATE     0.00000    
 AG WELL    146   HRU  8068   RATE     0.00000    
 AG WELL    147   HRU  8067   RATE     0.00000    
 AG WELL    147   HRU  8061   RATE     0.00000    
 AG WELL    148   HRU  8281   RATE     0.00000    
 AG WELL    148   HRU  8280   RATE     0.00000    
 AG WELL    148   HRU  8282   RATE     0.00000    
 AG WELL    148   HRU  8310   RATE     0.00000    
 AG WELL    151   HRU  7868   RATE     0.00000    
 AG WELL    151   HRU  7866   RATE     0.00000    
 AG WELL    151   HRU  7872   RATE     0.00000    
 AG WELL    151   HRU  7869   RATE     0.00000    
 AG WELL    151   HRU  7867   RATE     0.00000    
 AG WELL    151   HRU  7887   RATE     0.00000    
 AG WELL    151   HRU  7873   RATE     0.00000    
 AG WELL    151   HRU  7885   RATE     0.00000    
 AG WELL    152   HRU 13921   RATE     0.00000    
 AG WELL    152   HRU 13796   RATE     0.00000    
 AG WELL    152   HRU 13834   RATE     0.00000    
 AG WELL    152   HRU 13975   RATE     0.00000    
 AG WELL    152   HRU 13922   RATE     0.00000    
 AG WELL    152   HRU 13800   RATE     0.00000    
 AG WELL    152   HRU 13937   RATE     0.00000    
 AG WELL    152   HRU 13819   RATE     0.00000    
 AG WELL    153   HRU 13973   RATE     0.00000    
 AG WELL    153   HRU 13974   RATE     0.00000    
 AG WELL    153   HRU 13917   RATE     0.00000    
 AG WELL    153   HRU 13919   RATE     0.00000    
 AG WELL    153   HRU 13923   RATE     0.00000    
 AG WELL    153   HRU 13947   RATE     0.00000    
 AG WELL    153   HRU 13958   RATE     0.00000    
 AG WELL    153   HRU  8277   RATE     0.00000    
 AG WELL    153   HRU 13936   RATE     0.00000    
 AG WELL    155   HRU 13514   RATE     0.00000    
 AG WELL    156   HRU 13823   RATE     0.00000    
 AG WELL    156   HRU 13802   RATE     0.00000    
 AG WELL    157   HRU 13915   RATE     0.00000    
 AG WELL    157   HRU 13730   RATE     0.00000    
 AG WELL    157   HRU 13727   RATE     0.00000    
 AG WELL    158   HRU  4311   RATE     664.009    
 AG WELL    158   HRU  4383   RATE     664.009    
 AG WELL    159   HRU 13851   RATE     0.00000    
 AG WELL    159   HRU 13849   RATE     0.00000    
 AG WELL    160   HRU 13852   RATE     0.00000    
 AG WELL    161   HRU 13859   RATE     0.00000    
 AG WELL    161   HRU 13858   RATE     0.00000    
 AG WELL    161   HRU 13857   RATE     0.00000    
 AG WELL    161   HRU 13830   RATE     0.00000    
 AG WELL    161   HRU 13856   RATE     0.00000    
 AG WELL    161   HRU 13807   RATE     0.00000    
 AG WELL    162   HRU 13763   RATE     0.00000    
 AG WELL    162   HRU 13719   RATE     0.00000    
 AG WELL    162   HRU 13769   RATE     0.00000    
 AG WELL    162   HRU 13725   RATE     0.00000    
 AG WELL    162   HRU 13733   RATE     0.00000    
 AG WELL    162   HRU 13716   RATE     0.00000    
 AG WELL    163   HRU 13539   RATE     0.00000    
 AG WELL    163   HRU 13523   RATE     0.00000    
 AG WELL    163   HRU 13528   RATE     0.00000    
 AG WELL    163   HRU 13507   RATE     0.00000    
 AG WELL    163   HRU 13511   RATE     0.00000    
 AG WELL    163   HRU 13762   RATE     0.00000    
 AG WELL    165   HRU 13612   RATE     0.00000    
 AG WELL    166   HRU 13605   RATE     0.00000    
 AG WELL    167   HRU 13805   RATE     0.00000    
 AG WELL    167   HRU 13808   RATE     0.00000    
 AG WELL    167   HRU 13850   RATE     0.00000    
 AG WELL    167   HRU 13809   RATE     0.00000    
 AG WELL    167   HRU 13481   RATE     0.00000    
 AG WELL    167   HRU 13847   RATE     0.00000    
 AG WELL    167   HRU 13845   RATE     0.00000    
 AG WELL    169   HRU 13480   RATE     0.00000    
 AG WELL    169   HRU 13741   RATE     0.00000    
 AG WELL    169   HRU 13413   RATE     0.00000    
 AG WELL    170   HRU  6621   RATE     476.037    
 AG WELL    170   HRU  6622   RATE     476.037    
 AG WELL    170   HRU  6522   RATE     476.037    
 AG WELL    170   HRU  6523   RATE     476.037    
 AG WELL    170   HRU  6524   RATE     476.037    
 AG WELL    170   HRU  6527   RATE     476.037    
 AG WELL    170   HRU  6521   RATE     476.037    
 AG WELL    170   HRU  6526   RATE     476.037    
 AG WELL    171   HRU 13459   RATE     0.00000    
 AG WELL    171   HRU 13436   RATE     0.00000    
 AG WELL    171   HRU 13424   RATE     0.00000    
 AG WELL    171   HRU 13447   RATE     0.00000    
 AG WELL    172   HRU  6586   RATE     545.323    
 AG WELL    172   HRU  6589   RATE     545.323    
 AG WELL    172   HRU  6588   RATE     545.323    
 AG WELL    172   HRU  6587   RATE     545.323    
 AG WELL    172   HRU  6516   RATE     545.323    
 AG WELL    172   HRU  6585   RATE     545.323    
 AG WELL    173   HRU 13475   RATE     0.00000    
 AG WELL    173   HRU 13437   RATE     0.00000    
 AG WELL    173   HRU 13422   RATE     0.00000    
 AG WELL    174   HRU 13463   RATE     0.00000    
 AG WELL    174   HRU 13421   RATE     0.00000    
 AG WELL    174   HRU 13462   RATE     0.00000    
 AG WELL    175   HRU 13073   RATE     0.00000    
 AG WELL    175   HRU 13119   RATE     0.00000    
 AG WELL    175   HRU 13110   RATE     0.00000    
 AG WELL    175   HRU 13022   RATE     0.00000    
 AG WELL    176   HRU  6552   RATE     346.824    
 AG WELL    177   HRU 13453   RATE     0.00000    
 AG WELL    178   HRU 13317   RATE     0.00000    
 AG WELL    178   HRU 13464   RATE     0.00000    
 AG WELL    178   HRU 13420   RATE     0.00000    
 AG WELL    178   HRU 13313   RATE     0.00000    
 AG WELL    178   HRU 13471   RATE     0.00000    
 AG WELL    178   HRU 13466   RATE     0.00000    
 AG WELL    179   HRU  6430   RATE     1493.43    
 AG WELL    180   HRU 12990   RATE     0.00000    
 AG WELL    181   HRU 12989   RATE     0.00000    
 AG WELL    182   HRU 13330   RATE     0.00000    
 AG WELL    182   HRU 13328   RATE     0.00000    
 AG WELL    182   HRU 13325   RATE     0.00000    
 AG WELL    182   HRU 13336   RATE     0.00000    
 AG WELL    182   HRU 13308   RATE     0.00000    
 AG WELL    184   HRU 12617   RATE     0.00000    
 AG WELL    184   HRU 12565   RATE     0.00000    
 AG WELL    186   HRU 12312   RATE     0.00000    
 AG WELL    187   HRU 13205   RATE     0.00000    
 AG WELL    188   HRU  6118   RATE     0.00000    
 AG WELL    189   HRU 12873   RATE     0.00000    
 AG WELL    189   HRU 12764   RATE     0.00000    
 AG WELL    190   HRU  6156   RATE     0.00000    
 AG WELL    190   HRU  6152   RATE     0.00000    
 AG WELL    191   HRU  6168   RATE     128.583    
 AG WELL    191   HRU  6023   RATE     128.583    
 AG WELL    191   HRU  6024   RATE     128.583    
 AG WELL    191   HRU  6167   RATE     128.583    
 AG WELL    192   HRU 12685   RATE     0.00000    
 AG WELL    192   HRU 12684   RATE     0.00000    
 AG WELL    192   HRU 12869   RATE     0.00000    
 AG WELL    192   HRU 12686   RATE     0.00000    
 AG WELL    192   HRU 12683   RATE     0.00000    
 AG WELL    192   HRU 12866   RATE     0.00000    
 AG WELL    193   HRU 10473   RATE     0.00000    
 AG WELL    194   HRU 12352   RATE     0.00000    
 AG WELL    195   HRU 12336   RATE     0.00000    
 AG WELL    197   HRU 10435   RATE     0.00000    
 AG WELL    199   HRU 11382   RATE     0.00000    
 AG WELL    199   HRU 11380   RATE     0.00000    
 AG WELL    199   HRU 11281   RATE     0.00000    
 AG WELL    199   HRU 11648   RATE     0.00000    
 AG WELL    199   HRU 11369   RATE     0.00000    
 AG WELL    200   HRU 10437   RATE     0.00000    
 AG WELL    201   HRU 10902   RATE     0.00000    
 AG WELL    202   HRU 12187   RATE     0.00000    
 AG WELL    204   HRU 11760   RATE     0.00000    
 AG WELL    205   HRU 11722   RATE     0.00000    
 AG WELL    205   HRU 11679   RATE     0.00000    
 AG WELL    205   HRU 11719   RATE     0.00000    
 AG WELL    205   HRU 11681   RATE     0.00000    
 AG WELL    205   HRU 11643   RATE     0.00000    
 AG WELL    205   HRU 11714   RATE     0.00000    
 AG WELL    206   HRU 11584   RATE     0.00000    
 AG WELL    207   HRU 11707   RATE     0.00000    
 AG WELL    207   HRU 11705   RATE     0.00000    
 AG WELL    207   HRU 11731   RATE     0.00000    
 AG WELL    207   HRU 11711   RATE     0.00000    
 AG WELL    207   HRU 11653   RATE     0.00000    
 AG WELL    207   HRU 11646   RATE     0.00000    
 AG WELL    207   HRU 11733   RATE     0.00000    
 AG WELL    208   HRU  8835   RATE     0.00000    
 AG WELL    208   HRU  8805   RATE     0.00000    
 AG WELL    209   HRU 12082   RATE     0.00000    
 AG WELL    210   HRU 12078   RATE     0.00000    
 AG WELL    211   HRU 10928   RATE     0.00000    
 AG WELL    211   HRU 10927   RATE     0.00000    
 AG WELL    211   HRU 11701   RATE     0.00000    
 AG WELL    212   HRU 11498   RATE     0.00000    
 AG WELL    214   HRU 10004   RATE     0.00000    
 AG WELL    215   HRU  9995   RATE     0.00000    
 AG WELL    215   HRU  9997   RATE     0.00000    
 AG WELL    216   HRU 10028   RATE     0.00000    
 AG WELL    217   HRU 10035   RATE     499.248    
 AG WELL    218   HRU  9789   RATE     0.00000    
 AG WELL    218   HRU  9788   RATE     0.00000    
 AG WELL    218   HRU  9790   RATE     0.00000    
 
 

        GW IRRIGATION     PERIOD    2   STEP  15
 AG WELL      3   HRU 16514   RATE     961.859    
 AG WELL      6   HRU 16501   RATE     788.687    
 AG WELL      8   HRU 16529   RATE     216.421    
 AG WELL     11   HRU 15175   RATE     917.345    
 AG WELL     11   HRU 15174   RATE     917.345    
 AG WELL     19   HRU 15245   RATE     415.946    
 AG WELL     20   HRU 14910   RATE     139.477    
 AG WELL     21   HRU 15218   RATE     400.983    
 AG WELL     30   HRU 15018   RATE     494.237    
 AG WELL     37   HRU 14576   RATE     525.224    
 AG WELL     39   HRU 15322   RATE     624.239    
 AG WELL     39   HRU 15338   RATE     624.239    
 AG WELL     40   HRU 15315   RATE     565.317    
 AG WELL     40   HRU 15319   RATE     565.317    
 AG WELL     41   HRU 14553   RATE     1147.24    
 AG WELL     41   HRU 14562   RATE     1147.24    
 AG WELL     41   HRU 14563   RATE     1147.24    
 AG WELL     43   HRU 15320   RATE     590.389    
 AG WELL     43   HRU 15336   RATE     590.389    
 AG WELL     44   HRU 14570   RATE     545.475    
 AG WELL     44   HRU 14583   RATE     545.475    
 AG WELL     46   HRU 14463   RATE     327.720    
 AG WELL     46   HRU 14519   RATE     327.720    
 AG WELL     46   HRU 14492   RATE     327.720    
 AG WELL     46   HRU 14477   RATE     327.720    
 AG WELL     47   HRU 14518   RATE     44.0205    
 AG WELL     52   HRU 15475   RATE     106103.    
 AG WELL     52   HRU 15477   RATE     106103.    
 AG WELL     52   HRU 15417   RATE     106103.    
 AG WELL     55   HRU 15589   RATE     1010.22    
 AG WELL     59   HRU 15566   RATE     978.178    
 AG WELL     59   HRU 15613   RATE     978.178    
 AG WELL     59   HRU 15563   RATE     978.178    
 AG WELL     59   HRU 15580   RATE     978.178    
 AG WELL     59   HRU 15611   RATE     978.178    
 AG WELL     59   HRU 15612   RATE     978.178    
 AG WELL     61   HRU 15638   RATE     0.00000    
 AG WELL     62   HRU  2816   RATE     389.416    
 AG WELL     63   HRU  2595   RATE     130.003    
 AG WELL     66   HRU  2809   RATE     1043.44    
 AG WELL     68   HRU 16108   RATE     1289.11    
 AG WELL     68   HRU 15688   RATE     1289.11    
 AG WELL     68   HRU 15683   RATE     1289.11    
 AG WELL     68   HRU 15681   RATE     1289.11    
 AG WELL     77   HRU 15641   RATE     1011.42    
 AG WELL     77   HRU 15653   RATE     1011.42    
 AG WELL     77   HRU 15642   RATE     1011.42    
 AG WELL     77   HRU 16025   RATE     1011.42    
 AG WELL     77   HRU 16066   RATE     1011.42    
 AG WELL     77   HRU 16028   RATE     1011.42    
 AG WELL    104   HRU  2653   RATE     154.838    
 AG WELL    106   HRU  3091   RATE     94.0076    
 AG WELL    107   HRU 16061   RATE     610.238    
 AG WELL    107   HRU  3254   RATE     610.238    
 AG WELL    108   HRU  3246   RATE     250.004    
 AG WELL    108   HRU  3245   RATE     250.004    
 AG WELL    110   HRU  3268   RATE     280.770    
 AG WELL    110   HRU  3231   RATE     280.770    
 AG WELL    110   HRU  3237   RATE     280.770    
 AG WELL    112   HRU  3076   RATE     1230.09    
 AG WELL    113   HRU  8131   RATE     69.1636    
 AG WELL    115   HRU  3146   RATE     923.667    
 AG WELL    117   HRU  7439   RATE     759.399    
 AG WELL    118   HRU  8109   RATE     1115.71    
 AG WELL    120   HRU 16047   RATE     0.00000    
 AG WELL    120   HRU 16046   RATE     0.00000    
 AG WELL    120   HRU 16044   RATE     0.00000    
 AG WELL    121   HRU  3258   RATE     0.00000    
 AG WELL    121   HRU  3263   RATE     0.00000    
 AG WELL    122   HRU  8142   RATE     332.417    
 AG WELL    123   HRU  8149   RATE     903.184    
 AG WELL    126   HRU  7910   RATE     323.213    
 AG WELL    126   HRU  7913   RATE     323.213    
 AG WELL    127   HRU  3311   RATE     0.00000    
 AG WELL    129   HRU  3323   RATE     0.00000    
 AG WELL    129   HRU  3327   RATE     0.00000    
 AG WELL    129   HRU  3326   RATE     0.00000    
 AG WELL    129   HRU 15940   RATE     0.00000    
 AG WELL    129   HRU 15961   RATE     0.00000    
 AG WELL    130   HRU  3295   RATE     0.00000    
 AG WELL    130   HRU  3298   RATE     0.00000    
 AG WELL    130   HRU  3316   RATE     0.00000    
 AG WELL    132   HRU 15943   RATE     0.00000    
 AG WELL    132   HRU  3318   RATE     0.00000    
 AG WELL    132   HRU 15939   RATE     0.00000    
 AG WELL    132   HRU 15936   RATE     0.00000    
 AG WELL    134   HRU 15946   RATE     0.00000    
 AG WELL    134   HRU 15928   RATE     0.00000    
 AG WELL    134   HRU 15935   RATE     0.00000    
 AG WELL    134   HRU 15944   RATE     0.00000    
 AG WELL    134   HRU 15942   RATE     0.00000    
 AG WELL    134   HRU 15858   RATE     0.00000    
 AG WELL    134   HRU 15929   RATE     0.00000    
 AG WELL    135   HRU 15703   RATE     0.00000    
 AG WELL    135   HRU 15859   RATE     0.00000    
 AG WELL    135   HRU 15700   RATE     0.00000    
 AG WELL    135   HRU 15702   RATE     0.00000    
 AG WELL    135   HRU 15704   RATE     0.00000    
 AG WELL    135   HRU 15706   RATE     0.00000    
 AG WELL    135   HRU 13987   RATE     0.00000    
 AG WELL    135   HRU 13991   RATE     0.00000    
 AG WELL    136   HRU 13986   RATE     0.00000    
 AG WELL    136   HRU 15874   RATE     0.00000    
 AG WELL    137   HRU  8258   RATE     0.00000    
 AG WELL    137   HRU  8259   RATE     0.00000    
 AG WELL    138   HRU  8265   RATE     0.00000    
 AG WELL    139   HRU  8074   RATE     0.00000    
 AG WELL    139   HRU  8046   RATE     0.00000    
 AG WELL    139   HRU  8193   RATE     0.00000    
 AG WELL    139   HRU  8232   RATE     0.00000    
 AG WELL    140   HRU  7949   RATE     0.00000    
 AG WELL    141   HRU  8309   RATE     0.00000    
 AG WELL    141   HRU  8300   RATE     0.00000    
 AG WELL    141   HRU  8308   RATE     0.00000    
 AG WELL    141   HRU  8305   RATE     0.00000    
 AG WELL    142   HRU  8299   RATE     0.00000    
 AG WELL    142   HRU  8307   RATE     0.00000    
 AG WELL    142   HRU  8304   RATE     0.00000    
 AG WELL    143   HRU  8041   RATE     0.00000    
 AG WELL    143   HRU  8054   RATE     0.00000    
 AG WELL    143   HRU  8055   RATE     0.00000    
 AG WELL    143   HRU  8069   RATE     0.00000    
 AG WELL    143   HRU  8043   RATE     0.00000    
 AG WELL    144   HRU  8245   RATE     0.00000    
 AG WELL    144   HRU  8255   RATE     0.00000    
 AG WELL    144   HRU  8289   RATE     0.00000    
 AG WELL    144   HRU  8213   RATE     0.00000    
 AG WELL    144   HRU  8237   RATE     0.00000    
 AG WELL    144   HRU  8244   RATE     0.00000    
 AG WELL    145   HRU  8045   RATE     0.00000    
 AG WELL    146   HRU  8072   RATE     0.00000    
 AG WELL    146   HRU  8068   RATE     0.00000    
 AG WELL    147   HRU  8067   RATE     0.00000    
 AG WELL    147   HRU  8061   RATE     0.00000    
 AG WELL    148   HRU  8281   RATE     0.00000    
 AG WELL    148   HRU  8280   RATE     0.00000    
 AG WELL    148   HRU  8282   RATE     0.00000    
 AG WELL    148   HRU  8310   RATE     0.00000    
 AG WELL    151   HRU  7868   RATE     0.00000    
 AG WELL    151   HRU  7866   RATE     0.00000    
 AG WELL    151   HRU  7872   RATE     0.00000    
 AG WELL    151   HRU  7869   RATE     0.00000    
 AG WELL    151   HRU  7867   RATE     0.00000    
 AG WELL    151   HRU  7887   RATE     0.00000    
 AG WELL    151   HRU  7873   RATE     0.00000    
 AG WELL    151   HRU  7885   RATE     0.00000    
 AG WELL    152   HRU 13921   RATE     0.00000    
 AG WELL    152   HRU 13796   RATE     0.00000    
 AG WELL    152   HRU 13834   RATE     0.00000    
 AG WELL    152   HRU 13975   RATE     0.00000    
 AG WELL    152   HRU 13922   RATE     0.00000    
 AG WELL    152   HRU 13800   RATE     0.00000    
 AG WELL    152   HRU 13937   RATE     0.00000    
 AG WELL    152   HRU 13819   RATE     0.00000    
 AG WELL    153   HRU 13973   RATE     0.00000    
 AG WELL    153   HRU 13974   RATE     0.00000    
 AG WELL    153   HRU 13917   RATE     0.00000    
 AG WELL    153   HRU 13919   RATE     0.00000    
 AG WELL    153   HRU 13923   RATE     0.00000    
 AG WELL    153   HRU 13947   RATE     0.00000    
 AG WELL    153   HRU 13958   RATE     0.00000    
 AG WELL    153   HRU  8277   RATE     0.00000    
 AG WELL    153   HRU 13936   RATE     0.00000    
 AG WELL    155   HRU 13514   RATE     0.00000    
 AG WELL    156   HRU 13823   RATE     0.00000    
 AG WELL    156   HRU 13802   RATE     0.00000    
 AG WELL    157   HRU 13915   RATE     0.00000    
 AG WELL    157   HRU 13730   RATE     0.00000    
 AG WELL    157   HRU 13727   RATE     0.00000    
 AG WELL    158   HRU  4311   RATE     1183.94    
 AG WELL    158   HRU  4383   RATE     1183.94    
 AG WELL    159   HRU 13851   RATE     0.00000    
 AG WELL    159   HRU 13849   RATE     0.00000    
 AG WELL    160   HRU 13852   RATE     0.00000    
 AG WELL    161   HRU 13859   RATE     0.00000    
 AG WELL    161   HRU 13858   RATE     0.00000    
 AG WELL    161   HRU 13857   RATE     0.00000    
 AG WELL    161   HRU 13830   RATE     0.00000    
 AG WELL    161   HRU 13856   RATE     0.00000    
 AG WELL    161   HRU 13807   RATE     0.00000    
 AG WELL    162   HRU 13763   RATE     0.00000    
 AG WELL    162   HRU 13719   RATE     0.00000    
 AG WELL    162   HRU 13769   RATE     0.00000    
 AG WELL    162   HRU 13725   RATE     0.00000    
 AG WELL    162   HRU 13733   RATE     0.00000    
 AG WELL    162   HRU 13716   RATE     0.00000    
 AG WELL    163   HRU 13539   RATE     0.00000    
 AG WELL    163   HRU 13523   RATE     0.00000    
 AG WELL    163   HRU 13528   RATE     0.00000    
 AG WELL    163   HRU 13507   RATE     0.00000    
 AG WELL    163   HRU 13511   RATE     0.00000    
 AG WELL    163   HRU 13762   RATE     0.00000    
 AG WELL    165   HRU 13612   RATE     0.00000    
 AG WELL    166   HRU 13605   RATE     0.00000    
 AG WELL    167   HRU 13805   RATE     0.00000    
 AG WELL    167   HRU 13808   RATE     0.00000    
 AG WELL    167   HRU 13850   RATE     0.00000    
 AG WELL    167   HRU 13809   RATE     0.00000    
 AG WELL    167   HRU 13481   RATE     0.00000    
 AG WELL    167   HRU 13847   RATE     0.00000    
 AG WELL    167   HRU 13845   RATE     0.00000    
 AG WELL    169   HRU 13480   RATE     0.00000    
 AG WELL    169   HRU 13741   RATE     0.00000    
 AG WELL    169   HRU 13413   RATE     0.00000    
 AG WELL    170   HRU  6621   RATE     0.00000    
 AG WELL    170   HRU  6622   RATE     0.00000    
 AG WELL    170   HRU  6522   RATE     0.00000    
 AG WELL    170   HRU  6523   RATE     0.00000    
 AG WELL    170   HRU  6524   RATE     0.00000    
 AG WELL    170   HRU  6527   RATE     0.00000    
 AG WELL    170   HRU  6521   RATE     0.00000    
 AG WELL    170   HRU  6526   RATE     0.00000    
 AG WELL    171   HRU 13459   RATE     0.00000    
 AG WELL    171   HRU 13436   RATE     0.00000    
 AG WELL    171   HRU 13424   RATE     0.00000    
 AG WELL    171   HRU 13447   RATE     0.00000    
 AG WELL    172   HRU  6586   RATE     69.9523    
 AG WELL    172   HRU  6589   RATE     69.9523    
 AG WELL    172   HRU  6588   RATE     69.9523    
 AG WELL    172   HRU  6587   RATE     69.9523    
 AG WELL    172   HRU  6516   RATE     69.9523    
 AG WELL    172   HRU  6585   RATE     69.9523    
 AG WELL    173   HRU 13475   RATE     0.00000    
 AG WELL    173   HRU 13437   RATE     0.00000    
 AG WELL    173   HRU 13422   RATE     0.00000    
 AG WELL    174   HRU 13463   RATE     0.00000    
 AG WELL    174   HRU 13421   RATE     0.00000    
 AG WELL    174   HRU 13462   RATE     0.00000    
 AG WELL    175   HRU 13073   RATE     0.00000    
 AG WELL    175   HRU 13119   RATE     0.00000    
 AG WELL    175   HRU 13110   RATE     0.00000    
 AG WELL    175   HRU 13022   RATE     0.00000    
 AG WELL    176   HRU  6552   RATE     0.00000    
 AG WELL    177   HRU 13453   RATE     0.00000    
 AG WELL    178   HRU 13317   RATE     0.00000    
 AG WELL    178   HRU 13464   RATE     0.00000    
 AG WELL    178   HRU 13420   RATE     0.00000    
 AG WELL    178   HRU 13313   RATE     0.00000    
 AG WELL    178   HRU 13471   RATE     0.00000    
 AG WELL    178   HRU 13466   RATE     0.00000    
 AG WELL    179   HRU  6430   RATE     2146.74    
 AG WELL    180   HRU 12990   RATE     0.00000    
 AG WELL    181   HRU 12989   RATE     0.00000    
 AG WELL    182   HRU 13330   RATE     0.00000    
 AG WELL    182   HRU 13328   RATE     0.00000    
 AG WELL    182   HRU 13325   RATE     0.00000    
 AG WELL    182   HRU 13336   RATE     0.00000    
 AG WELL    182   HRU 13308   RATE     0.00000    
 AG WELL    184   HRU 12617   RATE     0.00000    
 AG WELL    184   HRU 12565   RATE     0.00000    
 AG WELL    186   HRU 12312   RATE     0.00000    
 AG WELL    187   HRU 13205   RATE     0.00000    
 AG WELL    188   HRU  6118   RATE     1056.00    
 AG WELL    189   HRU 12873   RATE     0.00000    
 AG WELL    189   HRU 12764   RATE     0.00000    
 AG WELL    190   HRU  6156   RATE     762.119    
 AG WELL    190   HRU  6152   RATE     762.119    
 AG WELL    191   HRU  6168   RATE     862.745    
 AG WELL    191   HRU  6023   RATE     862.745    
 AG WELL    191   HRU  6024   RATE     862.745    
 AG WELL    191   HRU  6167   RATE     862.745    
 AG WELL    192   HRU 12685   RATE     0.00000    
 AG WELL    192   HRU 12684   RATE     0.00000    
 AG WELL    192   HRU 12869   RATE     0.00000    
 AG WELL    192   HRU 12686   RATE     0.00000    
 AG WELL    192   HRU 12683   RATE     0.00000    
 AG WELL    192   HRU 12866   RATE     0.00000    
 AG WELL    193   HRU 10473   RATE     0.00000    
 AG WELL    194   HRU 12352   RATE     0.00000    
 AG WELL    195   HRU 12336   RATE     0.00000    
 AG WELL    197   HRU 10435   RATE     0.00000    
 AG WELL    199   HRU 11382   RATE     0.00000    
 AG WELL    199   HRU 11380   RATE     0.00000    
 AG WELL    199   HRU 11281   RATE     0.00000    
 AG WELL    199   HRU 11648   RATE     0.00000    
 AG WELL    199   HRU 11369   RATE     0.00000    
 AG WELL    200   HRU 10437   RATE     0.00000    
 AG WELL    201   HRU 10902   RATE     0.00000    
 AG WELL    202   HRU 12187   RATE     0.00000    
 AG WELL    204   HRU 11760   RATE     0.00000    
 AG WELL    205   HRU 11722   RATE     0.00000    
 AG WELL    205   HRU 11679   RATE     0.00000    
 AG WELL    205   HRU 11719   RATE     0.00000    
 AG WELL    205   HRU 11681   RATE     0.00000    
 AG WELL    205   HRU 11643   RATE     0.00000    
 AG WELL    205   HRU 11714   RATE     0.00000    
 AG WELL    206   HRU 11584   RATE     0.00000    
 AG WELL    207   HRU 11707   RATE     0.00000    
 AG WELL    207   HRU 11705   RATE     0.00000    
 AG WELL    207   HRU 11731   RATE     0.00000    
 AG WELL    207   HRU 11711   RATE     0.00000    
 AG WELL    207   HRU 11653   RATE     0.00000    
 AG WELL    207   HRU 11646   RATE     0.00000    
 AG WELL    207   HRU 11733   RATE     0.00000    
 AG WELL    208   HRU  8835   RATE     0.00000    
 AG WELL    208   HRU  8805   RATE     0.00000    
 AG WELL    209   HRU 12082   RATE     0.00000    
 AG WELL    210   HRU 12078   RATE     0.00000    
 AG WELL    211   HRU 10928   RATE     0.00000    
 AG WELL    211   HRU 10927   RATE     0.00000    
 AG WELL    211   HRU 11701   RATE     0.00000    
 AG WELL    212   HRU 11498   RATE     0.00000    
 AG WELL    214   HRU 10004   RATE     0.00000    
 AG WELL    215   HRU  9995   RATE     0.00000    
 AG WELL    215   HRU  9997   RATE     0.00000    
 AG WELL    216   HRU 10028   RATE     0.00000    
 AG WELL    217   HRU 10035   RATE     0.00000    
 AG WELL    218   HRU  9789   RATE     0.00000    
 AG WELL    218   HRU  9788   RATE     0.00000    
 AG WELL    218   HRU  9790   RATE     0.00000    
 
